ID	Nomoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
219844_at	5.65	7.57	-3.77	8.13E-05	0.0062	CCDC186	coiled-coil domain containing 186
222412_s_at	8.5	10.33	-3.55	8.11E-05	0.0062	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)
224628_at	10.67	12.63	-3.89	8.14E-05	0.0062	ERLEC1	endoplasmic reticulum lectin 1
208308_s_at	11.63	13.34	-3.29	8.18E-05	0.0062	GPI	glucose-6-phosphate isomerase
228108_at	6.15	4.21	3.85	8.17E-05	0.0062	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent, 1L
1554558_at	5.3	7.12	-3.53	8.19E-05	0.0062	DCAF5	DDB1 and CUL4 associated factor 5
212368_at	8.43	10.45	-4.07	8.21E-05	0.0062	ZNF292	zinc finger protein 292
202512_s_at	7.05	8.79	-3.34	8.23E-05	0.0062	ATG5	autophagy related 5
217118_s_at	8.83	6.93	3.73	8.31E-05	0.0062	KIAA0930	KIAA0930
217728_at	8.3	10.03	-3.32	8.31E-05	0.0062	S100A6	S100 calcium binding protein A6
203429_s_at	9.31	11.22	-3.76	8.37E-05	0.0063	SUCO	SUN domain containing ossification factor
206758_at	6.77	8.52	-3.35	8.37E-05	0.0063	EDN2	endothelin 2
223614_at	5.84	4.01	3.53	8.43E-05	0.0063	MMP16	matrix metallopeptidase 16 (membrane-inserted)
209172_s_at	7.56	5.69	3.67	8.51E-05	0.0063	CENPF	centromere protein F
212239_at	9.84	7.38	5.52	8.53E-05	0.0063	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)
216508_x_at	10.48	8.52	3.89	8.55E-05	0.0064		
213478_at	8.84	6.82	4.06	8.59E-05	0.0064	KAZN	kazrin, periplakin interacting protein
236699_at	6.29	8.13	-3.56	8.60E-05	0.0064		
202586_at	7.65	5.83	3.53	8.67E-05	0.0064	POLR2L	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa
203453_at	10.11	7.31	6.96	8.75E-05	0.0064	SCNN1A	sodium channel, non voltage gated 1 alpha subunit
204087_s_at	10.78	8.5	4.84	8.75E-05	0.0064	SLC5A6	solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6
204352_at	8.02	6.33	3.23	8.63E-05	0.0064	TRAF5	TNF receptor-associated factor 5
205284_at	8.66	6.76	3.74	8.75E-05	0.0064	URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
212043_at	10.77	8.91	3.63	8.75E-05	0.0064	TGOLN2	trans-golgi network protein 2
213532_at	9.53	11.32	-3.45	8.73E-05	0.0064	ADAM17	ADAM metallopeptidase domain 17
218695_at	10.47	8.7	3.42	8.72E-05	0.0064	EXOSC4	exosome component 4
222037_at	9.19	6.65	5.84	8.65E-05	0.0064	MCM4	minichromosome maintenance complex component 4
223568_s_at	7.74	9.44	-3.25	8.64E-05	0.0064	PLPP5	phospholipid phosphatase 5
230629_s_at	7.58	5.62	3.91	8.74E-05	0.0064	EP400	E1A binding protein p400
1558365_at	4.09	5.8	-3.29	8.74E-05	0.0064	PGK1	phosphoglycerate kinase 1
240572_s_at	6.8	5.08	3.28	8.77E-05	0.0064	LOC374443	C-type lectin domain family 2, member D pseudogene
228001_at	7.03	8.71	-3.21	8.84E-05	0.0064	TMEM50B	transmembrane protein 50B
210611_s_at	6.3	8.05	-3.37	8.87E-05	0.0064	DTNA	dystrobrevin, alpha
213640_s_at	5.15	7.03	-3.66	8.87E-05	0.0064	LOX	lysyl oxidase
203186_s_at	6.77	8.75	-3.94	8.92E-05	0.0065	S100A4	S100 calcium binding protein A4
226763_at	9.19	7.48	3.27	8.93E-05	0.0065	SESTD1	SEC14 and spectrin domains 1
1556308_at	10.02	8.29	3.32	8.91E-05	0.0065	PRRT3	proline-rich transmembrane protein 3
210524_x_at	8.28	10.33	-4.14	8.95E-05	0.0065		
217356_s_at	10.78	12.82	-4.11	8.96E-05	0.0065	PGK1	phosphoglycerate kinase 1
204441_s_at	9.87	7.64	4.69	8.98E-05	0.0065	POLA2	polymerase (DNA directed), alpha 2, accessory subunit
223275_at	11.34	7.68	12.64	9.02E-05	0.0065	PRMT6	protein arginine methyltransferase 6
226612_at	10.75	8.9	3.62	9.02E-05	0.0065	UBE2QL1	ubiquitin conjugating enzyme E2Q family-like 1
232628_at	4.4	6.37	-3.92	8.99E-05	0.0065		
241775_at	4.47	6.3	-3.57	9.01E-05	0.0065		
221927_s_at	9.72	7.95	3.42	9.05E-05	0.0065	ABHD11	abhydrolase domain containing 11
238886_at	5.57	7.26	-3.22	9.05E-05	0.0065	TMED10	transmembrane p24 trafficking protein 10
214764_at	6.14	4.35	3.45	9.14E-05	0.0065	RRP15	ribosomal RNA processing 15 homolog
219006_at	9.97	8.3	3.18	9.13E-05	0.0065	NDUFAF4	NADH dehydrogenase (ubiquinone) complex I, assembly factor 4
1556911_at	5.48	7.16	-3.21	9.12E-05	0.0065	ALMS1-IT1	ALMS1 intronic transcript 1
216048_s_at	8.88	7.02	3.63	9.16E-05	0.0065	RHOBTB3	Rho-related BTB domain containing 3
226806_s_at	7.02	5.34	3.21	9.18E-05	0.0065	NFIA	nuclear factor I/A
1554588_a_at	5.46	3.7	3.37	9.19E-05	0.0065	TTC30B	tetratricopeptide repeat domain 30B
209753_s_at	8.57	6.89	3.21	9.23E-05	0.0065	TMPO	thymopoietin
229558_at	9.19	7.47	3.28	9.26E-05	0.0065	KNOP1	lysine-rich nucleolar protein 1
231890_at	4.91	6.71	-3.48	9.26E-05	0.0065		
210473_s_at	8.81	7.14	3.19	9.29E-05	0.0065	ADGRA3	adhesion G protein-coupled receptor A3
228968_at	7.56	9.44	-3.67	9.33E-05	0.0066	ZNF449	zinc finger protein 449
226546_at	6.33	8.66	-5.01	9.42E-05	0.0066	LOC100506844	uncharacterized LOC100506844
209321_s_at	7.35	5.54	3.51	9.46E-05	0.0066	ADCY3	adenylate cyclase 3
202421_at	11.67	10.01	3.16	9.50E-05	0.0067	IGSF3	immunoglobulin superfamily, member 3
243857_at	5.6	7.33	-3.3	9.51E-05	0.0067	MORF4L2	mortality factor 4 like 2
1558778_s_at	3.81	5.76	-3.89	9.52E-05	0.0067	MKL2	MKL/myocardin-like 2
202336_s_at	10.31	12.34	-4.08	9.62E-05	0.0067	PAM	peptidylglycine alpha-amidating monooxygenase
242110_at	4.34	6	-3.17	9.65E-05	0.0067		
221326_s_at	9.12	7.36	3.4	9.68E-05	0.0067	TUBD1	tubulin, delta 1
202656_s_at	7.86	9.71	-3.6	9.73E-05	0.0068	SERTAD2	SERTA domain containing 2
220058_at	6.31	8.07	-3.4	9.77E-05	0.0068	GID4	GID complex subunit 4 homolog
236622_at	6.8	4.4	5.25	9.77E-05	0.0068	PIGM	phosphatidylinositol glycan anchor biosynthesis class M
219229_at	6.38	4.65	3.3	9.81E-05	0.0068	SLCO3A1	solute carrier organic anion transporter family, member 3A1
217986_s_at	9.91	8.22	3.23	9.89E-05	0.0068	BAZ1A	bromodomain adjacent to zinc finger domain 1A
203805_s_at	7.65	5.76	3.72	9.94E-05	0.0069	FANCA	Fanconi anemia complementation group A
225936_at	8.89	7.24	3.14	9.93E-05	0.0069	EID2	EP300 interacting inhibitor of differentiation 2
230399_at	6.41	3.99	5.36	9.95E-05	0.0069		
230087_at	7.57	5.9	3.17	0.0001	0.0069	PRIMA1	proline rich membrane anchor 1
212027_at	10.25	8.51	3.32	0.0001	0.0070	RBM25	RNA binding motif protein 25
203279_at	7.82	10.21	-5.24	0.0001	0.0070	EDEM1	ER degradation enhancer, mannosidase alpha-like 1
212563_at	9.63	7.65	3.93	0.0001	0.0070	BOP1	block of proliferation 1
218248_at	10.24	8.15	4.26	0.0001	0.0070	FAM111A	family with sequence similarity 111, member A
201855_s_at	10.53	8.65	3.68	0.0001	0.0070	ATMIN	ATM interactor
202721_s_at	9.57	11.92	-5.1	0.0001	0.0070	GFPT1	glutamine--fructose-6-phosphate transaminase 1
222499_at	9.4	7.76	3.13	0.0001	0.0070	MRPS16	mitochondrial ribosomal protein S16
222574_s_at	10.38	12.25	-3.66	0.0001	0.0070	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40
223279_s_at	8.06	9.69	-3.11	0.0001	0.0070	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats
229868_s_at	7.49	9.53	-4.12	0.0001	0.0070	GDF15	growth differentiation factor 15
227211_at	9.87	8.12	3.37	0.0001	0.0070	PHF19	PHD finger protein 19
229105_at	5.79	4.14	3.13	0.0001	0.0070	GPR39	G protein-coupled receptor 39
222062_at	6.59	4.73	3.62	0.0001	0.0070	IL27RA	interleukin 27 receptor, alpha
212958_x_at	9.59	11.54	-3.88	0.0001	0.0071	PAM	peptidylglycine alpha-amidating monooxygenase
225078_at	12.38	9.5	7.32	0.0001	0.0071	EMP2	epithelial membrane protein 2
218885_s_at	8.1	6.31	3.46	0.0001	0.0071	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12
227764_at	8.27	6.58	3.22	0.0001	0.0071	LYPD6	LY6/PLAUR domain containing 6
238369_s_at	4.66	6.49	-3.55	0.0001	0.0071	LINC01607	long intergenic non-protein coding RNA 1607
1552671_a_at	6.58	8.22	-3.13	0.0001	0.0071	SLC9A7	solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7
210367_s_at	8.12	6.39	3.33	0.0001	0.0071	PTGES	prostaglandin E synthase
201015_s_at	10.45	8.8	3.13	0.0001	0.0071	JUP	junction plakoglobin
208934_s_at	9.1	10.84	-3.35	0.0001	0.0071	LGALS8	lectin, galactoside-binding, soluble, 8
226253_at	7.45	5.62	3.55	0.0001	0.0071	LRRC45	leucine rich repeat containing 45
200889_s_at	10.1	11.87	-3.41	0.0001	0.0071	SSR1	signal sequence receptor, alpha
228303_at	8.71	7.04	3.18	0.0001	0.0071	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
205253_at	8.55	6.64	3.76	0.0001	0.0071	PBX1	pre-B-cell leukemia homeobox 1
209706_at	7.04	5.38	3.16	0.0001	0.0072	NKX3-1	NK3 homeobox 1
229720_at	7.11	5.41	3.25	0.0001	0.0072	BAG1	BCL2-associated athanogene
223200_s_at	9.46	7.46	3.98	0.0001	0.0072	LSG1	large 60S subunit nuclear export GTPase 1
202500_at	8.34	10.01	-3.17	0.0001	0.0072	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2
209136_s_at	9.11	7.37	3.35	0.0001	0.0072	USP10	ubiquitin specific peptidase 10
212148_at	9.06	6.08	7.91	0.0001	0.0072	PBX1	pre-B-cell leukemia homeobox 1
212185_x_at	11.68	13.4	-3.3	0.0001	0.0072	MT2A	metallothionein 2A
213534_s_at	7.33	5.6	3.32	0.0001	0.0072	PASK	PAS domain containing serine/threonine kinase
222408_s_at	10.05	11.7	-3.13	0.0001	0.0072	YPEL5	yippee like 5
232180_at	5.79	7.76	-3.93	0.0001	0.0072	UGP2	UDP-glucose pyrophosphorylase 2
1558256_at	5.2	7.54	-5.06	0.0001	0.0072	LINC00662	long intergenic non-protein coding RNA 662
213329_at	8.41	6.6	3.49	0.0001	0.0072	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2
238477_at	8.69	6.93	3.39	0.0001	0.0072	KIF1C	kinesin family member 1C
214753_at	6.27	8.11	-3.57	0.0001	0.0072	N4BP2L2	NEDD4 binding protein 2-like 2
219771_at	5.05	6.73	-3.21	0.0001	0.0072	TBC1D8B	TBC1 domain family, member 8B (with GRAM domain)
226923_at	9.01	7.35	3.16	0.0001	0.0072	SCFD2	sec1 family domain containing 2
231094_s_at	7.78	9.4	-3.07	0.0001	0.0072	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
1555090_x_at	5.8	7.58	-3.45	0.0001	0.0072	TMEM182	transmembrane protein 182
200727_s_at	10.58	8.68	3.72	0.0001	0.0072	ACTR2	ARP2 actin-related protein 2 homolog (yeast)
200898_s_at	9.42	11.14	-3.31	0.0001	0.0072	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
201184_s_at	10.68	9.05	3.1	0.0001	0.0072	CHD4	chromodomain helicase DNA binding protein 4
201658_at	8.91	10.57	-3.16	0.0001	0.0072	ARL1	ADP-ribosylation factor like GTPase 1
202021_x_at	11.96	13.59	-3.1	0.0001	0.0072	EIF1	eukaryotic translation initiation factor 1
203755_at	10.33	7.5	7.1	0.0001	0.0072	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
204012_s_at	9.95	7.34	6.09	0.0001	0.0072	LCMT2	leucine carboxyl methyltransferase 2
206533_at	6.89	5.27	3.06	0.0001	0.0072	CHRNA5	cholinergic receptor, nicotinic alpha 5
210290_at	7.38	5.34	4.11	0.0001	0.0072	ZNF174	zinc finger protein 174
218012_at	8.91	10.77	-3.62	0.0001	0.0072	TSPYL2	TSPY-like 2
218350_s_at	11.38	9.17	4.6	0.0001	0.0072	GMNN	geminin, DNA replication inhibitor
218862_at	10.31	8.64	3.18	0.0001	0.0072	ASB13	ankyrin repeat and SOCS box containing 13
221521_s_at	11.37	8.58	6.9	0.0001	0.0072	GINS2	GINS complex subunit 2 (Psf2 homolog)
223309_x_at	8.97	10.72	-3.38	0.0001	0.0072	PNPLA8	patatin-like phospholipase domain containing 8
223349_s_at	8.73	7.11	3.08	0.0001	0.0072	BOK	BCL2-related ovarian killer
227685_at	6.97	8.85	-3.68	0.0001	0.0072	TMF1	TATA element modulatory factor 1
227737_at	8.14	9.81	-3.18	0.0001	0.0072	SRPRB	signal recognition particle receptor, B subunit
229733_s_at	10.27	8.52	3.37	0.0001	0.0072		
232270_at	7.63	6	3.09	0.0001	0.0072	C9orf3	chromosome 9 open reading frame 3
234954_at	8.34	9.97	-3.08	0.0001	0.0072		
211456_x_at	10.76	12.4	-3.11	0.0001	0.0072	MT1HL1	metallothionein 1H-like 1
213523_at	9.45	7.72	3.32	0.0001	0.0072	CCNE1	cyclin E1
216526_x_at	10.21	11.82	-3.06	0.0001	0.0072	HLA-C	major histocompatibility complex, class I, C
224847_at	8.14	6.44	3.26	0.0001	0.0072	CDK6	cyclin-dependent kinase 6
218054_s_at	6.11	7.75	-3.11	0.0001	0.0073	KXD1	KxDL motif containing 1
242865_at	4.34	5.95	-3.06	0.0001	0.0073		
200759_x_at	10.6	12.35	-3.35	0.0001	0.0073	NFE2L1	nuclear factor, erythroid 2-like 1
203821_at	6.23	9.38	-8.86	0.0001	0.0073	HBEGF	heparin-binding EGF-like growth factor
223232_s_at	8.75	6.68	4.2	0.0001	0.0073	CGN	cingulin
1553226_at	7.84	5.73	4.29	0.0001	0.0073	LINC00052	long intergenic non-protein coding RNA 52
1554148_a_at	7.41	9.38	-3.9	0.0001	0.0073	SLC33A1	solute carrier family 33 (acetyl-CoA transporter), member 1
202223_at	9.69	11.3	-3.05	0.0001	0.0073	STT3A	STT3A, subunit of the oligosaccharyltransferase complex (catalytic)
205733_at	9.51	7.64	3.63	0.0001	0.0073	BLM	Bloom syndrome, RecQ helicase-like
208900_s_at	11.37	8.71	6.33	0.0001	0.0073	TOP1	topoisomerase (DNA) I
208938_at	8.25	6.64	3.04	0.0001	0.0073	PRCC	papillary renal cell carcinoma (translocation-associated)
210052_s_at	10.99	9	3.97	0.0001	0.0073	TPX2	TPX2, microtubule-associated
212022_s_at	9.4	7.16	4.75	0.0001	0.0073	MKI67	marker of proliferation Ki-67
227904_at	8.22	10.15	-3.79	0.0001	0.0073	AZI2	5-azacytidine induced 2
230621_at	9.15	10.95	-3.47	0.0001	0.0073	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog
239363_at	9.62	7.99	3.11	0.0001	0.0073	INIP	INTS3 and NABP interacting protein
1563272_at	4.69	6.33	-3.11	0.0001	0.0073	TBC1D8B	TBC1 domain family, member 8B (with GRAM domain)
200983_x_at	10.13	7.39	6.68	0.0001	0.0073	CD59	CD59 molecule, complement regulatory protein
201700_at	9.77	7.94	3.56	0.0001	0.0073	CCND3	cyclin D3
214882_s_at	10.92	9.21	3.27	0.0001	0.0073	SRSF2	serine/arginine-rich splicing factor 2
238154_at	4.76	6.4	-3.13	0.0001	0.0073	CEP70	centrosomal protein 70kDa
201846_s_at	9.59	11.46	-3.66	0.0001	0.0073	RYBP	RING1 and YY1 binding protein
212266_s_at	11.69	9.99	3.25	0.0001	0.0073	SRSF5	serine/arginine-rich splicing factor 5
212675_s_at	7.84	6.12	3.29	0.0001	0.0073	CEP68	centrosomal protein 68kDa
235461_at	7.01	4.82	4.58	0.0001	0.0073	TET2	tet methylcytosine dioxygenase 2
204435_at	9.09	11.42	-5.05	0.0001	0.0073	NUP58	nucleoporin 58kDa
217825_s_at	8.59	10.51	-3.77	0.0001	0.0073	UBE2J1	ubiquitin-conjugating enzyme E2, J1
221497_x_at	6.29	8.43	-4.4	0.0001	0.0073	EGLN1	egl-9 family hypoxia-inducible factor 1
227560_at	10.04	8.17	3.64	0.0001	0.0073	SFXN2	sideroflexin 2
238126_at	5.24	7.29	-4.14	0.0001	0.0073	APTR	Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)
200757_s_at	11.07	12.88	-3.5	0.0001	0.0073	CALU	calumenin
226839_at	10.14	8.46	3.2	0.0001	0.0073	NR2C2AP	nuclear receptor 2C2-associated protein
240192_at	7.63	6.03	3.04	0.0001	0.0073	GATA3-AS1	GATA3 antisense RNA 1
203633_at	9.92	8.03	3.72	0.0001	0.0073	CPT1A	carnitine palmitoyltransferase 1A (liver)
205241_at	9.36	7.75	3.07	0.0001	0.0073	SCO2	SCO2 cytochrome c oxidase assembly protein
221571_at	9.08	7.09	3.99	0.0001	0.0073	TRAF3	TNF receptor-associated factor 3
225950_at	5.77	7.37	-3.03	0.0001	0.0073	SAMD8	sterile alpha motif domain containing 8
213721_at	8.55	6.81	3.33	0.0001	0.0073	SOX2	SRY box 2
224968_at	7.47	9.18	-3.26	0.0001	0.0074	CFAP36	cilia and flagella associated protein 36
214710_s_at	12.24	10.11	4.37	0.0001	0.0075	CCNB1	cyclin B1
228077_at	9.73	8.12	3.05	0.0001	0.0075	MRI1	methylthioribose-1-phosphate isomerase 1
212127_at	9.66	8.06	3.04	0.0001	0.0075	RANGAP1	Ran GTPase activating protein 1
219000_s_at	9.54	7.64	3.73	0.0001	0.0075	DSCC1	DNA replication and sister chromatid cohesion 1
227921_at	7.3	5.1	4.61	0.0001	0.0075	CH507-145C22.1; LOC102724701; LOC105379276; LOC105379499	uncharacterized LOC105379493; uncharacterized LOC102724701; uncharacterized LOC105379276; uncharacterized LOC105379499
209529_at	8.6	6.89	3.27	0.0001	0.0075	PLPP2	phospholipid phosphatase 2
224634_at	10.37	7.9	5.54	0.0001	0.0075	GPATCH4	G-patch domain containing 4
212902_at	8.51	10.29	-3.45	0.0001	0.0075	SEC24A	SEC24 homolog A, COPII coat complex component
201774_s_at	8.75	7.14	3.06	0.0001	0.0075	NCAPD2	non-SMC condensin I complex subunit D2
218399_s_at	10.61	8.85	3.38	0.0001	0.0075	CDCA4	cell division cycle associated 4
227294_at	7.81	5.92	3.69	0.0001	0.0075	ZNF689	zinc finger protein 689
229574_at	7.51	9.23	-3.29	0.0001	0.0075	TRA2A	transformer 2 alpha homolog (Drosophila)
229671_s_at	7.74	6.03	3.28	0.0001	0.0075	MIS18A	MIS18 kinetochore protein A
1553970_s_at	5.69	8.49	-6.94	0.0001	0.0075	CEL	carboxyl ester lipase
1552477_a_at	5.56	7.21	-3.14	0.0001	0.0075	IRF6	interferon regulatory factor 6
216237_s_at	11.03	8.53	5.63	0.0001	0.0075	MCM5	minichromosome maintenance complex component 5
1555167_s_at	6.8	8.41	-3.07	0.0001	0.0075	NAMPT	nicotinamide phosphoribosyltransferase
201150_s_at	7.98	6.4	2.99	0.0001	0.0075	TIMP3	TIMP metallopeptidase inhibitor 3
201502_s_at	11.47	9.87	3.03	0.0001	0.0075	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
202234_s_at	6.54	8.35	-3.51	0.0001	0.0075	SLC16A1	solute carrier family 16 (monocarboxylate transporter), member 1
203494_s_at	8.07	9.86	-3.47	0.0001	0.0075	CEP57	centrosomal protein 57kDa
204573_at	9.03	7.32	3.26	0.0001	0.0075	CROT	carnitine O-octanoyltransferase
205794_s_at	7.59	5.85	3.33	0.0001	0.0075	NOVA1	neuro-oncological ventral antigen 1
207949_s_at	8.34	9.99	-3.14	0.0001	0.0075	ICA1	islet cell autoantigen 1
209410_s_at	6.87	8.48	-3.06	0.0001	0.0075	GRB10	growth factor receptor bound protein 10
210091_s_at	6.61	8.2	-3.01	0.0001	0.0075	DTNA	dystrobrevin, alpha
212979_s_at	8.78	7.13	3.14	0.0001	0.0075	TCAF1	TRPM8 channel-associated factor 1
218662_s_at	9.02	7.1	3.79	0.0001	0.0075	NCAPG	non-SMC condensin I complex subunit G
218944_at	8.61	6.88	3.33	0.0001	0.0075	PYCRL	pyrroline-5-carboxylate reductase-like
221538_s_at	9.57	7.63	3.85	0.0001	0.0075	PLXNA1	plexin A1
222532_at	9.37	11.04	-3.19	0.0001	0.0075	SRPRB	signal recognition particle receptor, B subunit
224629_at	11.84	13.51	-3.17	0.0001	0.0075	LMAN1	lectin, mannose-binding, 1
231726_at	7.17	5.58	3.01	0.0001	0.0075	PCDHB14	protocadherin beta 14
235759_at	6.46	4.26	4.6	0.0001	0.0075		
235927_at	6.27	7.92	-3.15	0.0001	0.0075	XPO1	exportin 1
239319_at	9.19	7.54	3.14	0.0001	0.0075		
244033_at	7.09	5	4.27	0.0001	0.0075	CEP128	centrosomal protein 128kDa
216640_s_at	11.9	13.59	-3.22	0.0001	0.0075	PDIA6	protein disulfide isomerase family A, member 6
225521_at	6.37	4.78	3	0.0001	0.0075	ANAPC7	anaphase promoting complex subunit 7
204426_at	6.78	8.57	-3.45	0.0001	0.0076	TMED2	transmembrane p24 trafficking protein 2
221436_s_at	9.36	7.78	2.99	0.0001	0.0076	CDCA3	cell division cycle associated 3
226197_at	9.13	7.44	3.22	0.0001	0.0076	AR	androgen receptor
218282_at	7.13	9.01	-3.68	0.0001	0.0076	EDEM2	ER degradation enhancer, mannosidase alpha-like 2
230142_s_at	7.16	8.74	-2.99	0.0001	0.0076	CIRBP	cold inducible RNA binding protein
237435_at	5.51	3.86	3.12	0.0001	0.0076		
237737_at	5.08	6.66	-3	0.0001	0.0076	ANKRD20A12P; LOC100289026; LOC101060632; LOC101927345; LOC102723799; LOC105369263; LOC105374447; LOC105379272	ankyrin repeat domain 20 family, member A12, pseudogene; uncharacterized LOC100289026; putative ankyrin repeat domain-containing protein 20A12 pseudogene; uncharacterized LOC102723799; uncharacterized LOC105369263; uncharacterized LOC105374447
227143_s_at	9.56	7.6	3.88	0.0001	0.0076	BID	BH3 interacting domain death agonist
210733_at	6.58	8.66	-4.22	0.0001	0.0076		
235705_at	6.03	7.63	-3.04	0.0001	0.0076		
202597_at	8.51	10.19	-3.2	0.0001	0.0076	IRF6	interferon regulatory factor 6
201056_at	6.94	8.56	-3.07	0.0001	0.0076	GOLGB1	golgin B1
219158_s_at	9.98	7.85	4.38	0.0001	0.0076	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
222036_s_at	9.59	6.77	7.06	0.0001	0.0076	MCM4	minichromosome maintenance complex component 4
225144_at	8.16	5.87	4.89	0.0001	0.0076	BMPR2	bone morphogenetic protein receptor type II
202533_s_at	8.4	6.46	3.83	0.0001	0.0077	DHFR; DHFRP1	dihydrofolate reductase; dihydrofolate reductase pseudogene 1
204347_at	8.02	10.15	-4.37	0.0001	0.0077	AK4	adenylate kinase 4
206976_s_at	12.28	10.64	3.12	0.0001	0.0077	HSPH1	heat shock 105kDa/110kDa protein 1
208291_s_at	5.73	7.54	-3.5	0.0001	0.0077	TH	tyrosine hydroxylase
219330_at	10.08	8.51	2.97	0.0001	0.0077	VANGL1	VANGL planar cell polarity protein 1
219390_at	6.36	8.81	-5.48	0.0001	0.0077	FKBP14	FK506 binding protein 14
229551_x_at	9.48	6.79	6.44	0.0001	0.0077	ZNF367	zinc finger protein 367
239845_at	5.67	7.27	-3.04	0.0001	0.0077		
212227_x_at	11.94	13.55	-3.07	0.0001	0.0077	EIF1	eukaryotic translation initiation factor 1
226105_at	6.06	8.26	-4.6	0.0001	0.0077	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
225717_at	6.37	8.93	-5.9	0.0001	0.0077	KIAA1715	KIAA1715
229194_at	8.74	10.61	-3.66	0.0001	0.0077	PCGF5	polycomb group ring finger 5
208812_x_at	10.97	12.54	-2.96	0.0001	0.0078	HLA-C	major histocompatibility complex, class I, C
230710_at	6.11	8.6	-5.62	0.0001	0.0078	MIR210HG	MIR210 host gene
203293_s_at	7.26	8.86	-3.03	0.0001	0.0078	LMAN1	lectin, mannose-binding, 1
203373_at	8.77	7.21	2.96	0.0001	0.0078	SOCS2	suppressor of cytokine signaling 2
204162_at	9.72	7.07	6.28	0.0001	0.0078	NDC80	NDC80 kinetochore complex component
225917_at	9.55	7.97	2.99	0.0001	0.0078	ATF7IP	activating transcription factor 7 interacting protein
240655_at	5.21	6.79	-2.98	0.0001	0.0078		
212437_at	8.8	6.93	3.65	0.0001	0.0078	CENPB	centromere protein B
220495_s_at	9.67	11.45	-3.45	0.0001	0.0078	TXNDC15	thioredoxin domain containing 15
228810_at	7.88	9.91	-4.1	0.0001	0.0078	CCNYL1	cyclin Y like 1
208800_at	9.98	11.7	-3.29	0.0001	0.0078	SRP72	signal recognition particle 72kDa
209146_at	11.11	12.67	-2.95	0.0001	0.0078	MSMO1	methylsterol monooxygenase 1
1555500_s_at	8.26	6.17	4.26	0.0001	0.0078	SLC2A4RG	SLC2A4 regulator
212130_x_at	11.9	13.48	-2.99	0.0001	0.0079	EIF1	eukaryotic translation initiation factor 1
1554149_at	10.22	11.84	-3.07	0.0001	0.0079	CLDND1	claudin domain containing 1
204796_at	6.56	4.98	2.98	0.0001	0.0079	EML1	echinoderm microtubule associated protein like 1
217992_s_at	8.78	7.22	2.94	0.0001	0.0079	EFHD2	EF-hand domain family member D2
224480_s_at	7.25	9.25	-4	0.0001	0.0079	GPAT3	glycerol-3-phosphate acyltransferase 3
235727_at	9.75	11.32	-2.96	0.0001	0.0079	KLHL28	kelch-like family member 28
242273_at	7.31	4.91	5.29	0.0001	0.0079	LLPH	LLP homolog, long-term synaptic facilitation (Aplysia)
244385_at	6.7	8.77	-4.22	0.0001	0.0079	KDM4C	lysine (K)-specific demethylase 4C
1568611_at	6.22	8.54	-4.98	0.0001	0.0079		
209578_s_at	7.87	9.49	-3.08	0.0001	0.0079	POFUT2	protein O-fucosyltransferase 2
202549_at	8.02	6.37	3.14	0.0001	0.0080	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C
1557126_a_at	3.83	6.18	-5.08	0.0001	0.0080	PLD1	phospholipase D1, phosphatidylcholine-specific
214633_at	7.23	5.21	4.06	0.0001	0.0080	SOX3	SRY box 3
227445_at	7.72	5.96	3.38	0.0001	0.0080	ZNF689	zinc finger protein 689
207996_s_at	5.1	3.49	3.04	0.0001	0.0080	LDLRAD4	low density lipoprotein receptor class A domain containing 4
213032_at	7.61	6.04	2.96	0.0001	0.0081	NFIB	nuclear factor I/B
203339_at	6.84	5.24	3.05	0.0001	0.0081	SLC25A12	solute carrier family 25 (aspartate/glutamate carrier), member 12
209932_s_at	9.63	7.24	5.23	0.0001	0.0081	DUT	deoxyuridine triphosphatase
211993_at	8.52	6.83	3.22	0.0001	0.0081	WNK1	WNK lysine deficient protein kinase 1
