ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
210587_at	4.23	8.27	-16.45	0.0001	0.0267	INHBE	inhibin beta E
227897_at	11.27	13.09	-3.53	0.0001	0.0267		
204444_at	9.19	7.05	4.41	0.0001	0.0268	KIF11	kinesin family member 11
226886_at	7.43	10.1	-6.39	0.0001	0.0271	GFPT1	glutamine--fructose-6-phosphate transaminase 1
202240_at	9.25	7.6	3.15	0.0001	0.0272	PLK1	polo-like kinase 1
202728_s_at	9.22	7.19	4.07	0.0001	0.0272	LTBP1	latent transforming growth factor beta binding protein 1
203857_s_at	8.98	10.87	-3.7	0.0001	0.0275	PDIA5	protein disulfide isomerase family A, member 5
207069_s_at	8.36	6.68	3.2	0.0001	0.0275	SMAD6	SMAD family member 6
208343_s_at	5.8	3.61	4.54	0.0001	0.0275	NR5A2	nuclear receptor subfamily 5, group A, member 2
242787_at	8.64	6.62	4.05	0.0001	0.0275		
1564028_s_at	4.93	6.69	-3.38	0.0001	0.0275	LOC154761; TCAF2; TCAF2P1	family with sequence similarity 115, member C pseudogene; TRPM8 channel-associated factor 2; TRPM8 channel-associated factor 2 pseudogene 1
223982_s_at	9.38	11.65	-4.83	0.0002	0.0277	PNPLA8	patatin-like phospholipase domain containing 8
225681_at	7.3	9.17	-3.67	0.0001	0.0277	CTHRC1	collagen triple helix repeat containing 1
201291_s_at	11.12	9.15	3.92	0.0002	0.0278	TOP2A	topoisomerase (DNA) II alpha
209173_at	11.61	13.37	-3.37	0.0002	0.0278	AGR2	anterior gradient 2, protein disulphide isomerase family member
224797_at	7.1	9.84	-6.7	0.0002	0.0278	ARRDC3	arrestin domain containing 3
232138_at	5.27	7.02	-3.35	0.0002	0.0278	MBNL2	muscleblind-like splicing regulator 2
236620_at	8.65	6.78	3.66	0.0002	0.0278	RIF1	replication timing regulatory factor 1
242538_at	7.97	6.23	3.34	0.0002	0.0278		
1558747_at	6.16	4.53	3.09	0.0002	0.0278	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1
1553392_at	4.08	5.82	-3.34	0.0002	0.0278	EFCAB3; LOC102724660	EF-hand calcium binding domain 3; uncharacterized LOC102724660
236513_at	5.06	7.44	-5.19	0.0002	0.0279	PRELID2	PRELI domain containing 2
238029_s_at	8.89	7.26	3.08	0.0002	0.0279	SLC16A14	solute carrier family 16, member 14
224839_s_at	9.23	10.91	-3.2	0.0002	0.0279	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2
235476_at	8.72	7.05	3.18	0.0002	0.0279	TRIM59	tripartite motif containing 59
211048_s_at	11.08	13.44	-5.12	0.0002	0.0279	PDIA4	protein disulfide isomerase family A, member 4
230323_s_at	6.42	9.15	-6.64	0.0002	0.0279	TMEM45B	transmembrane protein 45B
239619_at	4.36	6	-3.12	0.0002	0.0279		
220441_at	7.36	5.74	3.09	0.0002	0.0281	DNAJC22	DnaJ (Hsp40) homolog, subfamily C, member 22
208291_s_at	5.73	7.37	-3.11	0.0002	0.0284	TH	tyrosine hydroxylase
211936_at	12.76	14.4	-3.1	0.0002	0.0284	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
221203_s_at	7.57	9.67	-4.28	0.0002	0.0284	YEATS2	YEATS domain containing 2
1558028_x_at	8.12	6.51	3.06	0.0002	0.0284	LINC00657	long intergenic non-protein coding RNA 657
219990_at	9.17	5.62	11.7	0.0002	0.0285	E2F8	E2F transcription factor 8
226859_at	7.91	9.87	-3.88	0.0002	0.0287	DNAJC25	DnaJ (Hsp40) homolog, subfamily C , member 25
219262_at	5.91	4.23	3.21	0.0002	0.0288	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)
203147_s_at	8.97	7.37	3.03	0.0002	0.0288	TRIM14	tripartite motif containing 14
208056_s_at	9.94	8.06	3.69	0.0002	0.0288	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3
221884_at	6.66	5.05	3.06	0.0002	0.0289	MECOM	MDS1 and EVI1 complex locus
200825_s_at	10.4	12.53	-4.4	0.0002	0.0292	HYOU1	hypoxia up-regulated 1
203986_at	7.78	9.45	-3.18	0.0002	0.0292	FAM47E-STBD1; STBD1	FAM47E-STBD1 readthrough; starch binding domain 1
211600_at	11.29	12.88	-2.99	0.0002	0.0292	PTPRO	protein tyrosine phosphatase, receptor type, O
226197_at	9.13	7.53	3.03	0.0002	0.0292	AR	androgen receptor
228286_at	7.37	5.57	3.49	0.0002	0.0292	GEN1	GEN1 Holliday junction 5' flap endonuclease
229130_at	6.84	5.2	3.12	0.0002	0.0292		
230629_s_at	7.58	5.9	3.22	0.0002	0.0292	EP400	E1A binding protein p400
231875_at	8.76	7.08	3.2	0.0002	0.0292	KIF21A	kinesin family member 21A
235117_at	9.02	7.44	3	0.0002	0.0292	CHAC2	ChaC, cation transport regulator homolog 2 (E. coli)
236175_at	5.02	6.64	-3.08	0.0002	0.0292	TRIM55	tripartite motif containing 55
239431_at	5.69	8.32	-6.2	0.0002	0.0292	TICAM2; TMED7-TICAM2	toll-like receptor adaptor molecule 2; TMED7-TICAM2 readthrough
243463_s_at	8.19	9.81	-3.08	0.0002	0.0292	RIT1	Ras-like without CAAX 1
201793_x_at	7.83	6.25	2.99	0.0002	0.0293	SMG7	SMG7 nonsense mediated mRNA decay factor
213523_at	9.45	7.49	3.87	0.0002	0.0293	CCNE1	cyclin E1
223722_at	5.57	7.98	-5.31	0.0002	0.0293	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
232180_at	5.79	7.74	-3.87	0.0002	0.0293	UGP2	UDP-glucose pyrophosphorylase 2
201056_at	6.94	8.71	-3.41	0.0002	0.0293	GOLGB1	golgin B1
203164_at	8.4	9.98	-2.99	0.0002	0.0293	SLC33A1	solute carrier family 33 (acetyl-CoA transporter), member 1
203803_at	8.33	6.52	3.51	0.0002	0.0293	PCYOX1	prenylcysteine oxidase 1
209754_s_at	7.65	5.91	3.34	0.0002	0.0293	TMPO	thymopoietin
218070_s_at	8.31	10.15	-3.58	0.0002	0.0293	GMPPA	GDP-mannose pyrophosphorylase A
223232_s_at	8.75	7.11	3.1	0.0002	0.0293	CGN	cingulin
226763_at	9.19	7.42	3.42	0.0002	0.0293	SESTD1	SEC14 and spectrin domains 1
235092_at	7.25	5.61	3.1	0.0002	0.0293		
1555167_s_at	6.8	8.82	-4.07	0.0002	0.0293	NAMPT	nicotinamide phosphoribosyltransferase
209024_s_at	11.47	9.85	3.07	0.0002	0.0293	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
202861_at	6.22	7.79	-2.97	0.0002	0.0294	PER1	period circadian clock 1
223310_x_at	9.62	11.74	-4.36	0.0002	0.0294	PNPLA8	patatin-like phospholipase domain containing 8
224630_at	10.19	11.96	-3.41	0.0002	0.0294	ERLEC1	endoplasmic reticulum lectin 1
238944_at	7.3	9	-3.26	0.0002	0.0294	LOC100505715	uncharacterized LOC100505715
200911_s_at	9.09	7.46	3.1	0.0002	0.0295	TACC1	transforming, acidic coiled-coil containing protein 1
203638_s_at	8.17	6.61	2.94	0.0002	0.0295	FGFR2	fibroblast growth factor receptor 2
210473_s_at	8.81	7.19	3.08	0.0002	0.0295	ADGRA3	adhesion G protein-coupled receptor A3
212753_at	9.01	5.22	13.79	0.0002	0.0295	PCGF3	polycomb group ring finger 3
218282_at	7.13	8.82	-3.23	0.0002	0.0295	EDEM2	ER degradation enhancer, mannosidase alpha-like 2
219384_s_at	9	7.41	3	0.0002	0.0295	ADAT1	adenosine deaminase, tRNA-specific 1
222912_at	6.66	5.02	3.12	0.0002	0.0295	ARRB1	arrestin, beta 1
224823_at	7.71	6.13	2.99	0.0002	0.0295	MYLK	myosin light chain kinase
200890_s_at	9.64	11.29	-3.15	0.0002	0.0296	SSR1	signal sequence receptor, alpha
202140_s_at	8.82	10.42	-3.02	0.0002	0.0296	CLK3	CDC like kinase 3
214464_at	9.01	7.32	3.23	0.0002	0.0296	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
228770_at	5.08	6.83	-3.36	0.0002	0.0296	GPR146	G protein-coupled receptor 146
229997_at	10.48	8.86	3.06	0.0002	0.0296	VANGL1	VANGL planar cell polarity protein 1
242669_at	6.78	9.55	-6.82	0.0002	0.0296	UFM1	ubiquitin-fold modifier 1
211379_x_at	9.6	7.95	3.13	0.0002	0.0296	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)
218437_s_at	5.55	8.07	-5.73	0.0002	0.0296	LZTFL1	leucine zipper transcription factor like 1
224634_at	10.37	8.71	3.14	0.0002	0.0296	GPATCH4	G-patch domain containing 4
201703_s_at	9.16	7.01	4.44	0.0002	0.0296	PPP1R10	protein phosphatase 1, regulatory subunit 10
235247_at	10.11	6.54	11.89	0.0002	0.0296	LOC101927172	uncharacterized LOC101927172
227095_at	6.21	4.63	3	0.0002	0.0297	LEPROT	leptin receptor overlapping transcript
227628_at	7.21	9.36	-4.45	0.0002	0.0297	GPX8	glutathione peroxidase 8 (putative)
242056_at	8.59	7.04	2.92	0.0002	0.0297	TRIM45	tripartite motif containing 45
1554079_at	7.66	9.29	-3.1	0.0002	0.0297	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18
201675_at	9.53	7.97	2.94	0.0002	0.0298	AKAP1	A kinase (PRKA) anchor protein 1
208789_at	7.6	9.15	-2.94	0.0002	0.0298	PTRF	polymerase I and transcript release factor
209276_s_at	6.86	8.64	-3.43	0.0002	0.0298	GLRX	glutaredoxin
209631_s_at	7.79	5.96	3.57	0.0002	0.0298	GPR37	G protein-coupled receptor 37 (endothelin receptor type B-like)
209710_at	9.23	7.67	2.95	0.0002	0.0298	GATA2	GATA binding protein 2
212368_at	8.43	10.48	-4.16	0.0002	0.0298	ZNF292	zinc finger protein 292
217738_at	9.39	11.12	-3.33	0.0002	0.0298	NAMPT	nicotinamide phosphoribosyltransferase
217840_at	10.62	12.15	-2.89	0.0002	0.0298	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
218002_s_at	6.71	4.73	3.95	0.0002	0.0298	CXCL14	chemokine (C-X-C motif) ligand 14
221765_at	8.27	6.46	3.5	0.0002	0.0298	UGCG	UDP-glucose ceramide glucosyltransferase
226132_s_at	8.27	6.72	2.92	0.0002	0.0298	MANEAL	mannosidase, endo-alpha-like
226384_at	7.32	9.99	-6.36	0.0002	0.0298	PLPP5	phospholipid phosphatase 5
635_s_at	6.94	8.53	-3.01	0.0002	0.0298	PPP2R5B	protein phosphatase 2, regulatory subunit B', beta
222439_s_at	11.17	9.21	3.88	0.0002	0.0302	THRAP3	thyroid hormone receptor associated protein 3
219771_at	5.05	6.77	-3.28	0.0002	0.0303	TBC1D8B	TBC1 domain family, member 8B (with GRAM domain)
221503_s_at	9.44	7.9	2.9	0.0002	0.0304	KPNA3	karyopherin alpha 3 (importin alpha 4)
225136_at	8.81	10.49	-3.2	0.0002	0.0305	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
202304_at	8.81	10.48	-3.18	0.0002	0.0305	FNDC3A	fibronectin type III domain containing 3A
202481_at	8.6	10.14	-2.91	0.0002	0.0305	DHRS3	dehydrogenase/reductase (SDR family) member 3
209340_at	9.37	11.22	-3.61	0.0002	0.0305	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1
212220_at	6.61	5.02	3.01	0.0002	0.0305	PSME4	proteasome activator subunit 4
221050_s_at	7.74	10.31	-5.93	0.0002	0.0305	GTPBP2	GTP binding protein 2
223541_at	6.87	5.35	2.87	0.0002	0.0305	HAS3	hyaluronan synthase 3
224632_at	9.25	7.19	4.17	0.0002	0.0305	GPATCH4	G-patch domain containing 4
1552930_at	7.87	9.59	-3.29	0.0002	0.0305	MMEL1	membrane metallo-endopeptidase-like 1
1553180_at	6.66	5.12	2.91	0.0002	0.0306	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19
224730_at	9.37	7.48	3.7	0.0002	0.0308	DCAF7	DDB1 and CUL4 associated factor 7
240574_at	6.01	7.7	-3.22	0.0002	0.0308	DNAJC3-AS1	DNAJC3 antisense RNA 1 (head to head)
210561_s_at	9.55	11.77	-4.65	0.0002	0.0308	WSB1	WD repeat and SOCS box containing 1
218974_at	8.29	6.78	2.85	0.0002	0.031	SOBP	sine oculis binding protein homolog
226192_at	9.4	7.64	3.37	0.0002	0.031	AR	androgen receptor
205590_at	7.81	6.29	2.88	0.0002	0.0312	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)
202412_s_at	9.22	7.5	3.29	0.0002	0.0313	USP1	ubiquitin specific peptidase 1
202613_at	10.14	8.38	3.39	0.0002	0.0313	CTPS1	CTP synthase 1
205046_at	8.48	6.98	2.83	0.0002	0.0313	CENPE	centromere protein E
205047_s_at	10.69	13.07	-5.22	0.0002	0.0313	ASNS	asparagine synthetase (glutamine-hydrolyzing)
205854_at	8.85	10.39	-2.9	0.0002	0.0313	TULP3	tubby like protein 3
205928_at	9.15	7.59	2.95	0.0002	0.0313	ZNF443	zinc finger protein 443
217813_s_at	9.52	8.02	2.83	0.0002	0.0313	SPIN1	spindlin 1
221745_at	8.94	7.34	3.02	0.0002	0.0313	DCAF7	DDB1 and CUL4 associated factor 7
225391_at	10.2	11.97	-3.41	0.0002	0.0313	LOC93622	Morf4 family associated protein 1-like 1 pseudogene
226865_at	6.69	5.2	2.83	0.0002	0.0313	PLXDC2	plexin domain containing 2
240557_at	6.96	8.71	-3.38	0.0002	0.0313	TSC22D2	TSC22 domain family, member 2
1554878_a_at	7.15	5.62	2.89	0.0002	0.0313	ABCD3	ATP binding cassette subfamily D member 3
1559266_s_at	6.38	4.88	2.83	0.0002	0.0313	SKIDA1	SKI/DACH domain containing 1
200880_at	11.01	8.95	4.18	0.0002	0.0313	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1
200970_s_at	10.68	12.22	-2.89	0.0002	0.0313	SERP1	stress-associated endoplasmic reticulum protein 1
201236_s_at	9.43	11.06	-3.1	0.0002	0.0313	BTG2	BTG family, member 2
202194_at	10.61	12.26	-3.13	0.0002	0.0313	TMED5	transmembrane p24 trafficking protein 5
202284_s_at	10.74	12.27	-2.88	0.0002	0.0313	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
202558_s_at	9.25	12.09	-7.16	0.0002	0.0313	HSPA13	heat shock protein 70kDa family, member 13
202721_s_at	9.57	11.84	-4.83	0.0002	0.0313	GFPT1	glutamine--fructose-6-phosphate transaminase 1
212622_at	9.43	11.34	-3.76	0.0002	0.0313	TMEM41B	transmembrane protein 41B
238964_at	5.75	3.97	3.43	0.0002	0.0313	FIGN	fidgetin
239834_at	8.15	6.38	3.42	0.0002	0.0313		
229126_at	7.7	5.86	3.6	0.0002	0.0314	TMEM19	transmembrane protein 19
225666_at	8.34	6.85	2.8	0.0003	0.0317	TMTC4	transmembrane and tetratricopeptide repeat containing 4
236957_at	8.49	6.94	2.92	0.0003	0.0317	CDCA2	cell division cycle associated 2
200599_s_at	12	13.7	-3.25	0.0003	0.0317	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
46665_at	11.21	9.72	2.81	0.0003	0.0317	SEMA4C	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C
218615_s_at	7.82	10.16	-5.06	0.0003	0.0317	TMEM39A	transmembrane protein 39A
201867_s_at	8.49	7.01	2.78	0.0003	0.0321	TBL1X	transducin (beta)-like 1X-linked
203176_s_at	7.65	6.12	2.88	0.0003	0.0321	TFAM	transcription factor A, mitochondrial
203640_at	9.3	10.84	-2.91	0.0003	0.0321	MBNL2	muscleblind-like splicing regulator 2
203675_at	9.11	11.34	-4.68	0.0003	0.0321	NUCB2	nucleobindin 2
203968_s_at	8.36	9.92	-2.94	0.0003	0.0321	CDC6	cell division cycle 6
204497_at	9.73	7.08	6.29	0.0003	0.0321	ADCY9	adenylate cyclase 9
205296_at	7.41	4.81	6.04	0.0003	0.0321	RBL1	retinoblastoma-like 1
206114_at	8.91	7.37	2.91	0.0003	0.0321	EPHA4	EPH receptor A4
210567_s_at	5.97	4.14	3.56	0.0003	0.0321	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
210616_s_at	10.01	11.48	-2.77	0.0003	0.0321	SEC31A	SEC31 homolog A, COPII coat complex component
210733_at	6.58	8.21	-3.1	0.0003	0.0321		
212345_s_at	9.72	11.35	-3.11	0.0003	0.0321	CREB3L2	cAMP responsive element binding protein 3-like 2
213861_s_at	6.89	8.47	-2.99	0.0003	0.0321	METTL21B	methyltransferase like 21B
218618_s_at	7.91	10.09	-4.53	0.0003	0.0321	FNDC3B	fibronectin type III domain containing 3B
221291_at	5.32	6.84	-2.86	0.0003	0.0321	ULBP2	UL16 binding protein 2
44783_s_at	7.9	11.81	-15.07	0.0003	0.0321	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
222499_at	9.4	7.9	2.83	0.0003	0.0321	MRPS16	mitochondrial ribosomal protein S16
223135_s_at	8.11	9.59	-2.77	0.0003	0.0321	BBX	bobby sox homolog (Drosophila)
225847_at	6.2	4.62	3.01	0.0003	0.0321	NCEH1	neutral cholesterol ester hydrolase 1
225961_at	9.17	7.62	2.93	0.0003	0.0321	KLHL42	kelch-like family member 42
228308_at	7.49	9.13	-3.1	0.0003	0.0321	FKBP11	FK506 binding protein 11
230087_at	7.57	6.07	2.81	0.0003	0.0321	PRIMA1	proline rich membrane anchor 1
239710_at	7.38	5.05	5.02	0.0003	0.0321	FIGN	fidgetin
240991_at	6.19	8.78	-6.01	0.0003	0.0321		
1559826_a_at	6.18	7.73	-2.94	0.0003	0.0321	LINC00960; LOC105379476	long intergenic non-protein coding RNA 960; uncharacterized LOC105379476
202998_s_at	8.14	10.65	-5.68	0.0003	0.0321	LOXL2	lysyl oxidase-like 2
213923_at	11.52	13.03	-2.85	0.0003	0.0321	RAP2B	RAP2B, member of RAS oncogene family
217861_s_at	10.04	11.53	-2.81	0.0003	0.0321	PREB	prolactin regulatory element binding
227750_at	8.47	7.01	2.75	0.0003	0.0321	KALRN	kalirin, RhoGEF kinase
236224_at	8.37	9.91	-2.91	0.0003	0.0321	RIT1	Ras-like without CAAX 1
242919_at	8.13	6.55	2.99	0.0003	0.0321	ZNF253	zinc finger protein 253
243648_at	8.29	6.48	3.52	0.0003	0.0321	ZBED6	zinc finger, BED-type containing 6
1555920_at	7.17	5.69	2.79	0.0003	0.0321	CBX3	chromobox homolog 3
204962_s_at	10.43	8.77	3.17	0.0003	0.0322	CENPA	centromere protein A
243683_at	4.34	5.8	-2.75	0.0003	0.0322	MORF4L2	mortality factor 4 like 2
224840_at	10.84	9.28	2.95	0.0003	0.0323	FKBP5	FK506 binding protein 5
217858_s_at	10.61	12.19	-2.99	0.0003	0.0325	ARMCX3	armadillo repeat containing, X-linked 3
204204_at	8.55	6.98	2.95	0.0003	0.0325	SLC31A2	solute carrier family 31 (copper transporter), member 2
212366_at	6.67	8.78	-4.32	0.0003	0.0325	ZNF292	zinc finger protein 292
212677_s_at	7.53	6.04	2.8	0.0003	0.0325	CEP68	centrosomal protein 68kDa
212787_at	10.56	9.02	2.91	0.0003	0.0325	YLPM1	YLP motif containing 1
219014_at	7.21	9.05	-3.59	0.0003	0.0325	PLAC8	placenta specific 8
222062_at	6.59	4.95	3.12	0.0003	0.0325	IL27RA	interleukin 27 receptor, alpha
51158_at	9.44	10.9	-2.77	0.0003	0.0325	FAM174B	family with sequence similarity 174, member B
230875_s_at	8.02	6.03	3.99	0.0003	0.0325	ATP11A	ATPase, class VI, type 11A
236170_x_at	5.68	4.21	2.77	0.0003	0.0325	LOC101930085	uncharacterized LOC101930085
200959_at	11.55	9.58	3.93	0.0003	0.0326	FUS	FUS RNA binding protein
201582_at	8.8	10.98	-4.54	0.0003	0.0327	SEC23B	Sec23 homolog B, COPII coat complex component
208249_s_at	7.85	9.57	-3.3	0.0003	0.0327	TGDS	TDP-glucose 4,6-dehydratase
211538_s_at	8.27	5.56	6.53	0.0003	0.0327	HSPA2	heat shock 70kDa protein 2
215813_s_at	4.49	6.13	-3.11	0.0003	0.0327	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
218308_at	9.56	8	2.95	0.0003	0.0327	TACC3	transforming, acidic coiled-coil containing protein 3
223218_s_at	10.43	8.87	2.93	0.0003	0.0327	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
224428_s_at	9.73	7.55	4.53	0.0003	0.0327	CDCA7	cell division cycle associated 7
227501_at	6.77	8.71	-3.84	0.0003	0.0327		
228141_at	6.02	7.47	-2.74	0.0003	0.0327	GPX8	glutathione peroxidase 8 (putative)
228176_at	11.28	9.58	3.24	0.0003	0.0327	S1PR3	sphingosine-1-phosphate receptor 3
231726_at	7.17	5.73	2.72	0.0003	0.0327	PCDHB14	protocadherin beta 14
235759_at	6.46	4.87	3.02	0.0003	0.0327		
1564166_s_at	5.65	7.54	-3.72	0.0003	0.0327	LOC100630923	LOC100289561-PRKRIP1 readthrough
202472_at	7.35	9.08	-3.33	0.0003	0.0328	MPI	mannose phosphate isomerase
205794_s_at	7.59	6.15	2.71	0.0003	0.0328	NOVA1	neuro-oncological ventral antigen 1
225822_at	7.75	9.43	-3.2	0.0003	0.0328	TMEM125	transmembrane protein 125
204805_s_at	10.5	9.06	2.7	0.0003	0.0331	H1FX	H1 histone family, member X
205870_at	7.81	9.34	-2.89	0.0003	0.0331	BDKRB2	bradykinin receptor B2
206686_at	6.05	7.47	-2.68	0.0003	0.0331	PDK1	pyruvate dehydrogenase kinase, isozyme 1
210845_s_at	6.41	7.91	-2.83	0.0003	0.0331	PLAUR	plasminogen activator, urokinase receptor
211464_x_at	8.67	7.21	2.74	0.0003	0.0331	CASP6	caspase 6
211812_s_at	9.24	7.57	3.18	0.0003	0.0331	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)
213393_at	7.54	9.07	-2.88	0.0003	0.0331	MFSD9	major facilitator superfamily domain containing 9
218276_s_at	7.47	9.26	-3.45	0.0003	0.0331	SAV1	salvador family WW domain containing protein 1
218532_s_at	7.55	6.12	2.7	0.0003	0.0331	FAM134B	family with sequence similarity 134, member B
222498_at	7.95	10.06	-4.33	0.0003	0.0331	AZI2	5-azacytidine induced 2
227289_at	7.28	4.9	5.19	0.0003	0.0331	PCDH17	protocadherin 17
228291_s_at	7.57	9.76	-4.57	0.0003	0.0331	KIZ	kizuna centrosomal protein
236622_at	6.8	5.32	2.78	0.0003	0.0331	PIGM	phosphatidylinositol glycan anchor biosynthesis class M
242408_at	8.96	7.37	3.01	0.0003	0.0331	STYX	serine/threonine/tyrosine interacting protein
1563947_a_at	7.46	5.95	2.85	0.0003	0.0331	ERC1	ELKS/RAB6-interacting/CAST family member 1
238477_at	8.69	7.26	2.71	0.0003	0.0331	KIF1C	kinesin family member 1C
206364_at	9.65	8.09	2.96	0.0003	0.0332	KIF14	kinesin family member 14
244370_at	4.03	6.01	-3.93	0.0003	0.0332	KIAA2022	KIAA2022
200969_at	10.69	12.11	-2.68	0.0003	0.0333	SERP1	stress-associated endoplasmic reticulum protein 1
203330_s_at	7.38	8.88	-2.82	0.0003	0.0333	STX5	syntaxin 5
208499_s_at	6.65	8.34	-3.22	0.0003	0.0333	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3
214695_at	7.78	6.35	2.69	0.0003	0.0333	UBAP2L	ubiquitin associated protein 2 like
217739_s_at	10.26	11.98	-3.3	0.0003	0.0333	NAMPT	nicotinamide phosphoribosyltransferase
221880_s_at	9.82	11.28	-2.75	0.0003	0.0333	FAM174B	family with sequence similarity 174, member B
226796_at	6.69	5.26	2.69	0.0003	0.0333	ABHD15	abhydrolase domain containing 15
227361_at	6.99	5.45	2.9	0.0003	0.0333	HS3ST3B1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1
201183_s_at	10.51	8.94	2.97	0.0003	0.0333	CHD4	chromodomain helicase DNA binding protein 4
227444_at	5.26	3.81	2.74	0.0003	0.0333	ARMCX4	armadillo repeat containing, X-linked 4
227970_at	9.05	10.48	-2.69	0.0003	0.0333	GPR157	G protein-coupled receptor 157
222444_at	8.48	10.03	-2.94	0.0003	0.0334	ARMCX3	armadillo repeat containing, X-linked 3
227335_at	8.35	6.7	3.14	0.0003	0.0334	DIDO1	death inducer-obliterator 1
202672_s_at	7.14	11.36	-18.6	0.0003	0.0334	ATF3	activating transcription factor 3
209706_at	7.04	5.6	2.71	0.0003	0.0334	NKX3-1	NK3 homeobox 1
225917_at	9.55	8.1	2.74	0.0003	0.0334	ATF7IP	activating transcription factor 7 interacting protein
232369_at	6.33	8.7	-5.15	0.0003	0.0334		
235588_at	7.34	5.86	2.78	0.0003	0.0334	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2
228528_at	5.38	7.19	-3.51	0.0003	0.0335	C1orf132	chromosome 1 open reading frame 132
217728_at	8.3	9.72	-2.67	0.0003	0.0335	S100A6	S100 calcium binding protein A6
219558_at	7.28	5.87	2.66	0.0003	0.0335	ATP13A3	ATPase type 13A3
225032_at	9.07	11.56	-5.62	0.0003	0.0335	FNDC3B	fibronectin type III domain containing 3B
232306_at	6.6	5.08	2.86	0.0003	0.0335	CDH26	cadherin 26
200768_s_at	11.19	9.53	3.18	0.0003	0.0336	MAT2A	methionine adenosyltransferase II, alpha
201008_s_at	8.22	9.88	-3.17	0.0003	0.0336	TXNIP	thioredoxin interacting protein
201627_s_at	9.1	10.59	-2.81	0.0004	0.0336	INSIG1	insulin induced gene 1
201674_s_at	10.43	8.74	3.22	0.0003	0.0336	AKAP1	A kinase (PRKA) anchor protein 1
201739_at	8.95	6.09	7.26	0.0003	0.0336	SGK1	serum/glucocorticoid regulated kinase 1
202586_at	7.65	6.08	2.96	0.0003	0.0336	POLR2L	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa
202847_at	9.77	11.31	-2.91	0.0003	0.0336	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)
207828_s_at	9.62	8.22	2.64	0.0003	0.0336	CENPF	centromere protein F
208165_s_at	6.48	8.81	-5.02	0.0003	0.0336	PRSS16	protease, serine, 16 (thymus)
208306_x_at	8.24	9.65	-2.65	0.0003	0.0336	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
208658_at	9.59	11.72	-4.37	0.0003	0.0336	PDIA4	protein disulfide isomerase family A, member 4
210896_s_at	9.22	10.64	-2.67	0.0003	0.0336	ASPH	aspartate beta-hydroxylase
212902_at	8.51	10.41	-3.74	0.0003	0.0336	SEC24A	SEC24 homolog A, COPII coat complex component
213032_at	7.61	6.18	2.68	0.0003	0.0336	NFIB	nuclear factor I/B
219225_at	7.09	5.38	3.26	0.0003	0.0336	PGBD5	piggyBac transposable element derived 5
219330_at	10.08	8.68	2.63	0.0004	0.0336	VANGL1	VANGL planar cell polarity protein 1
221524_s_at	8.36	10.51	-4.45	0.0003	0.0336	RRAGD	Ras-related GTP binding D
222118_at	9.43	7.64	3.45	0.0003	0.0336	CENPN	centromere protein N
222411_s_at	11.41	13.09	-3.19	0.0003	0.0336	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)
224908_s_at	8.26	6.65	3.05	0.0004	0.0336	TTL	tubulin tyrosine ligase
225307_at	8.7	10.31	-3.06	0.0004	0.0336	ZNF511	zinc finger protein 511
226574_at	10.75	8.6	4.44	0.0003	0.0336	PSPC1	paraspeckle component 1
227234_at	6.74	5.24	2.83	0.0003	0.0336	IPO5P1	importin 5 pseudogene 1
