ID	Normoxia.Avg..log2.	Hypoxia.Avg..log2.	Fold.Change	P.val	FDR.P.val	Gene.Symbol	Description
205807_s_at	10.46	11.93	-2.76	2.54e-05	0.0011	TUFT1	tuftelin 1
205830_at	5.44	9.19	-13.46	3.65e-07	0.0012	CLGN	calmegin
205841_at	5.73	5.04	1.61	0.004	0.0334	JAK2	Janus kinase 2
205862_at	10.77	8.61	4.47	0.0017	0.031	GREB1	growth regulation by estrogen in breast cancer 1
205870_at	7.81	9.01	-2.31	0.0032	0.0455	BDKRB2	bradykinin receptor B2
205891_at	6.84	8.43	-3.01	7e-04	0.0185	ADORA2B	adenosine A2b receptor
205899_at	4.82	5.82	-1.99	0.0023	0.0222	CCNA1	cyclin A1
205909_at	9.98	6.75	9.38	1.08e-05	0.0028	POLE2	polymerase (DNA directed), epsilon 2, accessory subunit
205926_at	5.96	5.36	1.52	0.0067	0.048	IL27RA	interleukin 27 receptor, alpha
205932_s_at	7.07	6.08	1.98	0.0029	0.0433	MSX1	msh homeobox 1
205959_at	5.46	7.24	-3.42	0.0016	0.0297	MMP13	matrix metallopeptidase 13
205965_at	9.47	8.27	2.29	1e-04	0.0027	BATF	basic leucine zipper transcription factor, ATF-like
205967_at	12.87	11.65	2.34	7e-04	0.0186	HIST1H4C	histone cluster 1, H4c
205968_at	8.58	6.39	4.57	3.94e-05	0.0015	KCNS3	potassium voltage-gated channel, modifier subfamily S, member 3
205981_s_at	8.48	9.4	-1.9	9e-04	0.0116	ING2	inhibitor of growth family member 2
206002_at	5.23	4.54	1.62	0.0048	0.038	ADGRG2	adhesion G protein-coupled receptor G2
206008_at	6.3	7.63	-2.53	7.84e-05	0.0022	TGM1	transglutaminase 1
206015_s_at	10.36	11.08	-1.64	0.0027	0.025	FOXJ3	forkhead box J3
206023_at	7.38	6.27	2.16	0.0015	0.0281	NMU	neuromedin U
206027_at	5.91	6.6	-1.62	0.0044	0.0355	S100A3	S100 calcium binding protein A3
206049_at	5.93	6.62	-1.62	0.005	0.0388	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)
206052_s_at	10.21	8.98	2.36	8e-04	0.0197	SLBP	stem-loop binding protein
206070_s_at	3.61	4.83	-2.33	9.26e-05	0.0025	EPHA3	EPH receptor A3
206072_at	6.32	7.38	-2.09	0.0021	0.0347	UCN	urocortin
206091_at	4.49	3.68	1.75	0.0019	0.0194	MATN3	matrilin 3
206098_at	5.23	4.47	1.7	0.0026	0.0244	ZBTB6	zinc finger and BTB domain containing 6
206100_at	4.65	3.62	2.04	0.0019	0.0326	CPM	carboxypeptidase M
206102_at	11.14	8.44	6.51	1.46e-06	3e-04	GINS1	GINS complex subunit 1 (Psf1 homolog)
206115_at	8.83	5.95	7.35	1.89e-07	1e-04	EGR3	early growth response 3
206121_at	5.1	6.14	-2.05	0.0029	0.0433	AMPD1	adenosine monophosphate deaminase 1
206141_at	7.75	6.88	1.82	0.0011	0.0127	MOCS3	molybdenum cofactor synthesis 3
206175_x_at	6.72	8.12	-2.64	3.69e-05	0.0014	ZNF222	zinc finger protein 222
206204_at	8	7.27	1.66	0.0037	0.0313	GRB14	growth factor receptor bound protein 14
206205_at	8.9	7.72	2.27	0.0017	0.0306	MPHOSPH9	M-phase phosphoprotein 9
206209_s_at	5.62	6.67	-2.08	3e-04	0.0048	CA4	carbonic anhydrase IV
206219_s_at	7.28	8.23	-1.92	5e-04	0.0077	VAV1	vav 1 guanine nucleotide exchange factor
206247_at	9.74	8.43	2.48	1e-04	0.003	MICB	MHC class I polypeptide-related sequence B
206261_at	8.59	7.43	2.24	9e-04	0.047	ZNF239	zinc finger protein 239
206277_at	8.78	9.9	-2.18	2e-04	0.0047	P2RY2	purinergic receptor P2Y, G-protein coupled, 2
206280_at	7.16	6.27	1.86	0.0054	0.0411	CDH18	cadherin 18, type 2
206307_s_at	7.59	9.97	-5.19	2.2e-05	0.0176	FOXD1	forkhead box D1
206316_s_at	7.9	6.8	2.13	0.0029	0.0263	KNTC1	kinetochore associated 1
206385_s_at	11.38	10.15	2.35	1e-04	0.0032	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
206412_at	8.03	8.85	-1.76	0.0012	0.0141	FER	fer (fps/fes related) tyrosine kinase
206414_s_at	9.59	8.13	2.76	3.58e-05	0.0014	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
206424_at	6.53	9.03	-5.69	4e-04	0.0337	CYP26A1	cytochrome P450, family 26, subfamily A, polypeptide 1
206445_s_at	10.88	9.8	2.11	0.0014	0.0274	PRMT1	protein arginine methyltransferase 1
206453_s_at	7.39	6.61	1.71	0.0035	0.0302	NDRG2	NDRG family member 2
206461_x_at	10.08	11.72	-3.13	2.32e-05	0.0011	MT1H	metallothionein 1H
206495_s_at	8.57	9.35	-1.72	0.0015	0.0163	HINFP	histone H4 transcription factor
206499_s_at	9.79	8.37	2.67	3e-04	0.0121	RCC1	regulator of chromosome condensation 1
206504_at	4.94	3.67	2.41	5e-04	0.0158	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1
206506_s_at	7.46	8.63	-2.26	4e-04	0.0065	SUPT3H	SPT3 homolog, SAGA and STAGA complex component
206510_at	6.23	5.19	2.07	0.0034	0.0473	SIX2	SIX homeobox 2
206526_at	6.26	5.25	2.01	4e-04	0.0066	RIBC2	RIB43A domain with coiled-coils 2
206533_at	6.89	5.27	3.06	1e-04	0.0072	CHRNA5	cholinergic receptor, nicotinic alpha 5
206546_at	5.23	4.03	2.29	8e-04	0.0448	SYCP2	synaptonemal complex protein 2
206561_s_at	6.77	5.91	1.81	0.0014	0.0156	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)
206583_at	7.54	8.85	-2.48	3e-04	0.0049	KRBOX4	KRAB box domain containing 4
206593_s_at	8.38	7.65	1.66	0.007	0.05	MED22	mediator complex subunit 22
206613_s_at	7.04	7.98	-1.92	9e-04	0.0115	TAF1A	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa
206648_at	4.71	5.66	-1.93	8e-04	0.0106	ZNF571	zinc finger protein 571
206656_s_at	12.31	11.41	1.86	0.0011	0.0129	APMAP	adipocyte plasma membrane associated protein
206662_at	7.57	10.79	-9.28	4.71e-07	2e-04	GLRX	glutaredoxin
206685_at	4.97	6.65	-3.2	6e-04	0.0414	HCG4	HLA complex group 4 (non-protein coding)
206723_s_at	9.93	9.09	1.8	0.001	0.0119	LPAR2	lysophosphatidic acid receptor 2
206734_at	5.6	6.95	-2.55	0.0012	0.0139	JRKL	JRK-like
206746_at	7.03	6.41	1.54	0.0055	0.042	BFSP1	beaded filament structural protein 1, filensin
206752_s_at	5.43	4.48	1.93	0.003	0.0441	DFFB	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)
206758_at	6.77	8.57	-3.48	1.46e-05	8e-04	EDN2	endothelin 2
206858_s_at	9.05	7.87	2.26	0.0029	0.0428	HOXC6	homeobox C6
206874_s_at	6.66	7.37	-1.63	0.0027	0.025	SLK	STE20-like kinase
206900_x_at	7.56	6.65	1.87	0.0012	0.014	ZNF253	zinc finger protein 253
206928_at	7.45	6.48	1.95	4e-04	0.0068	ZNF124	zinc finger protein 124
206949_s_at	10.73	9.53	2.3	7e-04	0.0186	RUSC1	RUN and SH3 domain containing 1
206976_s_at	12.28	10.9	2.6	1e-04	0.0029	HSPH1	heat shock 105kDa/110kDa protein 1
207002_s_at	4.76	5.47	-1.63	0.0028	0.0255	PLAGL1	pleiomorphic adenoma gene-like 1
207012_at	4.62	3.83	1.72	0.0025	0.0233	MMP16	matrix metallopeptidase 16 (membrane-inserted)
207030_s_at	8.29	10.43	-4.43	2.85e-05	0.0012	CSRP2	cysteine and glycine-rich protein 2
207060_at	5.9	4.89	2	4e-04	0.0067	EN2	engrailed homeobox 2
207069_s_at	8.36	6.37	3.97	3.27e-05	0.0041	SMAD6	SMAD family member 6
207076_s_at	10.63	11.59	-1.93	6e-04	0.0084	ASS1	argininosuccinate synthase 1
207121_s_at	12.63	13.76	-2.19	1e-04	0.0034	MAPK6	mitogen-activated protein kinase 6
207129_at	7.76	8.99	-2.34	8e-04	0.0451	CA5B	carbonic anhydrase VB, mitochondrial
207147_at	6	4.74	2.39	0.0011	0.0236	DLX2	distal-less homeobox 2
207163_s_at	10.84	9.63	2.31	2e-04	0.0046	AKT1	v-akt murine thymoma viral oncogene homolog 1
207165_at	10.86	8.71	4.41	5e-04	0.0146	HMMR	hyaluronan-mediated motility receptor (RHAMM)
207170_s_at	9.54	10.7	-2.24	9e-04	0.0213	LETMD1	LETM1 domain containing 1
207178_s_at	5.96	6.96	-2.01	6e-04	0.008	FRK	fyn-related Src family tyrosine kinase
207183_at	6.71	5.53	2.27	2e-04	0.0041	GPR19	G protein-coupled receptor 19
207196_s_at	9.19	10.11	-1.89	0.0038	0.0319	TNIP1	TNFAIP3 interacting protein 1
207243_s_at	13.98	12.98	2	0.0026	0.0405	CALM2	calmodulin 2 (phosphorylase kinase, delta)
207264_at	5.91	7.46	-2.91	2.35e-05	0.0011	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
207267_s_at	6.5	4.84	3.15	3e-04	0.0121	RIPPLY3	ripply transcriptional repressor 3
207302_at	7.33	8.6	-2.41	0.0022	0.0362	SGCG	sarcoglycan gamma
207390_s_at	7.18	6.43	1.68	0.0019	0.0194	SMTN	smoothelin
207392_x_at	6.77	6.05	1.64	0.0047	0.0371	UGT2B15	UDP glucuronosyltransferase 2 family, polypeptide B15
207412_x_at	5.63	6.26	-1.55	0.006	0.0442	CELP	carboxyl ester lipase pseudogene
207414_s_at	7.69	6.58	2.16	0.0014	0.0279	PCSK6	proprotein convertase subtilisin/kexin type 6
207458_at	6.84	6.14	1.62	0.0041	0.0335	RHPN1-AS1	RHPN1 antisense RNA 1 (head to head)
207467_x_at	9.51	10.89	-2.6	3e-04	0.0119	CAST	calpastatin
207522_s_at	7.3	6.2	2.15	2e-04	0.0039	ATP2A3	ATPase, Ca++ transporting, ubiquitous
207525_s_at	9.95	9.28	1.59	0.007	0.0496	GIPC1	GIPC PDZ domain containing family, member 1
207543_s_at	10.14	12.89	-6.75	4.89e-05	0.0188	P4HA1	prolyl 4-hydroxylase, alpha polypeptide I
207545_s_at	7.99	8.72	-1.65	0.0029	0.0263	LOC101928143; NUMB	uncharacterized LOC101928143; numb homolog (Drosophila)
207574_s_at	9.4	11.2	-3.48	1e-04	0.0027	GADD45B	growth arrest and DNA-damage-inducible, beta
207585_s_at	12.38	12.99	-1.52	0.0064	0.0467	RPL36AL	ribosomal protein L36a-like
207598_x_at	7.59	6.81	1.72	0.0026	0.0244	XRCC2	X-ray repair complementing defective repair in Chinese hamster cells 2
207606_s_at	8.57	9.37	-1.73	0.0014	0.0154	ARHGAP12	Rho GTPase activating protein 12
207618_s_at	9.81	9.09	1.65	0.0036	0.0308	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
207622_s_at	9.46	8.3	2.24	9e-04	0.0208	ABCF2	ATP binding cassette subfamily F member 2
207643_s_at	10.14	9.17	1.95	0.003	0.0439	TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A
207655_s_at	4.74	7.61	-7.3	3.25e-06	0.002	BLNK	B-cell linker
207707_s_at	12.59	13.44	-1.81	0.0012	0.014	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component
207713_s_at	7.4	8.68	-2.41	6e-04	0.0409	RBCK1	RanBP-type and C3HC4-type zinc finger containing 1
207714_s_at	11.14	10.45	1.61	0.0036	0.0304	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
207761_s_at	6.78	5	3.42	1.39e-05	8e-04	METTL7A	methyltransferase like 7A
207813_s_at	7.37	9.68	-4.98	1.02e-05	0.0027	FDXR	ferredoxin reductase
207826_s_at	9.27	7.37	3.73	4.45e-05	0.0048	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
207843_x_at	10.77	11.58	-1.74	0.0013	0.0148	CYB5A	cytochrome b5 type A (microsomal)
207877_s_at	8.72	9.75	-2.04	3e-04	0.0051	NVL	nuclear VCP-like
207886_s_at	6.8	5.76	2.06	0.0016	0.03	CALCR	calcitonin receptor
207935_s_at	6.93	5.41	2.88	0.0023	0.0373	KRT13	keratin 13, type I
207949_s_at	8.34	10	-3.16	1.55e-05	9e-04	ICA1	islet cell autoantigen 1
207992_s_at	7.77	8.92	-2.22	1e-04	0.0032	AMPD3	adenosine monophosphate deaminase 3
207996_s_at	5.1	3.72	2.61	8e-04	0.0445	LDLRAD4	low density lipoprotein receptor class A domain containing 4
208002_s_at	9.46	7.62	3.58	7.84e-05	0.0061	ACOT7	acyl-CoA thioesterase 7
208030_s_at	9.38	8.74	1.56	0.0057	0.0427	ADD1	adducin 1 (alpha)
208051_s_at	9.79	8.47	2.5	0.002	0.0336	PAIP1	poly(A) binding protein interacting protein 1
208056_s_at	9.94	8.06	3.69	2e-04	0.0288	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3
208066_s_at	9.54	10.18	-1.56	0.0055	0.042	GTF2B	general transcription factor IIB
208072_s_at	9.03	9.9	-1.83	0.0011	0.0133	DGKD	diacylglycerol kinase, delta 130kDa
208073_x_at	10.76	11.76	-2	0.0022	0.0366	TTC3	tetratricopeptide repeat domain 3
208079_s_at	12.5	11.41	2.13	0.004	0.0331	AURKA	aurora kinase A
208093_s_at	9.13	10.43	-2.45	6e-04	0.0168	NDEL1	nudE neurodevelopment protein 1-like 1
208117_s_at	9.96	9.27	1.62	0.0032	0.0281	LAS1L	LAS1-like, ribosome biogenesis factor
208165_s_at	6.48	9.47	-7.97	6.19e-06	0.0024	PRSS16	protease, serine, 16 (thymus)
208174_x_at	8.05	9.12	-2.1	4e-04	0.0064	ZRSR2	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2
208180_s_at	6.86	8.5	-3.13	2e-04	0.0044	HIST1H4H	histone cluster 1, H4h
208249_s_at	7.85	9.34	-2.81	8e-04	0.0202	TGDS	TDP-glucose 4,6-dehydratase
208291_s_at	5.73	7.37	-3.11	2e-04	0.0284	TH	tyrosine hydroxylase
208300_at	6.29	7.5	-2.32	8e-04	0.0202	PTPRH	protein tyrosine phosphatase, receptor type, H
208308_s_at	11.63	13.34	-3.29	8.18e-05	0.0062	GPI	glucose-6-phosphate isomerase
208361_s_at	7.6	9.07	-2.77	2.73e-05	0.0012	POLR3D	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa
208415_x_at	9.36	10.08	-1.64	0.0026	0.0242	ING1	inhibitor of growth family member 1
208445_s_at	9.98	8.95	2.05	0.0026	0.0406	BAZ1B	bromodomain adjacent to zinc finger domain 1B
208614_s_at	9.11	10.1	-1.98	7e-04	0.0095	FLNB	filamin B, beta
208634_s_at	8.97	8.3	1.59	0.0047	0.0372	KIAA0754; MACF1	KIAA0754; microtubule-actin crosslinking factor 1
208638_at	12.38	13.56	-2.27	3e-04	0.0054	PDIA6	protein disulfide isomerase family A, member 6
208658_at	9.59	12.16	-5.93	1.24e-06	3e-04	PDIA4	protein disulfide isomerase family A, member 4
208671_at	9.86	11.62	-3.37	3.01e-05	0.0012	SERINC1	serine incorporator 1
208675_s_at	11.81	12.75	-1.93	6e-04	0.0087	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)
208680_at	13.74	12.86	1.84	0.0012	0.0136	PRDX1	peroxiredoxin 1
208683_at	10.04	10.67	-1.56	0.0048	0.0381	CAPN2	calpain 2, (m/II) large subunit
208684_at	10.74	11.77	-2.04	0.0026	0.0404	COPA	coatomer protein complex subunit alpha
208693_s_at	12.35	13.71	-2.56	4.38e-05	0.0016	GARS	glycyl-tRNA synthetase
208707_at	8.01	7.1	1.89	0.0011	0.0129	EIF5	eukaryotic translation initiation factor 5
208712_at	11.52	9.52	4	3e-04	0.005	CCND1	cyclin D1
208758_at	12.04	11.37	1.59	0.0057	0.0428	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
208760_at	9.07	8.07	2.01	9e-04	0.0108	UBE2I	ubiquitin conjugating enzyme E2I
208763_s_at	9.82	10.74	-1.89	6e-04	0.0085	TSC22D3	TSC22 domain family, member 3
208773_s_at	9.81	10.93	-2.19	3e-04	0.005	ANKHD1; ANKHD1-EIF4EBP3	ankyrin repeat and KH domain containing 1; ANKHD1-EIF4EBP3 readthrough
208783_s_at	10.44	11.11	-1.58	0.0054	0.0413	CD46	CD46 molecule, complement regulatory protein
208786_s_at	10.77	12.93	-4.47	4e-04	0.0337	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
208795_s_at	11.72	10.24	2.79	6.69e-05	0.002	MCM7	minichromosome maintenance complex component 7
208796_s_at	10.88	11.81	-1.91	7e-04	0.0092	CCNG1	cyclin G1
208798_x_at	6.93	7.81	-1.85	0.0041	0.0335	GOLGA8A	golgin A8 family, member A
208802_at	9.13	10.87	-3.34	8.48e-06	6e-04	SRP72	signal recognition particle 72kDa
208813_at	9.98	11.74	-3.4	7.49e-06	6e-04	GOT1	glutamic-oxaloacetic transaminase 1, soluble
208823_s_at	8.8	8.04	1.69	0.0054	0.0411	CDK16	cyclin-dependent kinase 16
208829_at	9.32	7.69	3.09	2e-04	0.0083	TAPBP	TAP binding protein (tapasin)
208836_at	12.41	11.72	1.61	0.0033	0.0289	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide
208843_s_at	11.24	12.38	-2.2	2e-04	0.0034	GORASP2	golgi reassembly stacking protein 2
208869_s_at	6.93	8.54	-3.07	3e-04	0.0115	GABARAPL1	GABA(A) receptor-associated protein like 1
208884_s_at	10.33	11.22	-1.85	7e-04	0.0096	UBR5	ubiquitin protein ligase E3 component n-recognin 5
208891_at	5.29	4.48	1.75	0.0014	0.0152	DUSP6	dual specificity phosphatase 6
208898_at	11.56	12.31	-1.68	0.003	0.0271	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D
208900_s_at	11.37	8.71	6.33	1e-04	0.0073	TOP1	topoisomerase (DNA) I
208926_at	9.53	10.27	-1.67	0.0027	0.0247	NEU1	sialidase 1 (lysosomal sialidase)
208937_s_at	10.98	6.95	16.35	6.19e-07	0.0012	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
208938_at	8.25	6.64	3.04	1e-04	0.0073	PRCC	papillary renal cell carcinoma (translocation-associated)
208940_at	9.46	8.77	1.62	0.0031	0.0274	SEPHS1	selenophosphate synthetase 1
208944_at	8.71	9.43	-1.66	0.0023	0.0223	TGFBR2	transforming growth factor beta receptor II
208955_at	8.39	7.07	2.49	4e-04	0.0061	DUT	deoxyuridine triphosphatase
208957_at	7.37	8.83	-2.75	6e-04	0.04	ERP44	endoplasmic reticulum protein 44
208964_s_at	9.14	9.98	-1.79	0.0016	0.0172	FADS1	fatty acid desaturase 1
208986_at	8.38	9.11	-1.66	0.0034	0.0291	TCF12	transcription factor 12
209007_s_at	8.74	9.92	-2.27	1e-04	0.0031	RSRP1	arginine/serine-rich protein 1
209012_at	9.32	10.12	-1.74	0.0013	0.0147	TRIO	trio Rho guanine nucleotide exchange factor
209015_s_at	9.56	11.12	-2.97	5e-04	0.038	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6
209017_s_at	9.61	10.97	-2.57	7e-04	0.0439	LONP1	lon peptidase 1, mitochondrial
209020_at	9.44	10.73	-2.45	5e-04	0.0155	OSER1	oxidative stress responsive serine-rich 1
209023_s_at	9.25	9.9	-1.57	0.0062	0.0456	STAG2	stromal antigen 2
209028_s_at	8.6	9.67	-2.11	3e-04	0.005	ABI1	abl-interactor 1
209031_at	7.59	8.34	-1.68	0.0047	0.0373	CADM1	cell adhesion molecule 1
209034_at	9.05	10.87	-3.54	7.05e-06	6e-04	PNRC1	proline-rich nuclear receptor coactivator 1
209045_at	10.63	11.64	-2.01	3e-04	0.0055	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
209075_s_at	10.91	11.89	-1.97	4e-04	0.0063	ISCU	iron-sulfur cluster assembly enzyme
209076_s_at	11.28	12.67	-2.63	3.71e-05	0.0014	WDR45B	WD repeat domain 45B
209082_s_at	7.76	6.57	2.29	2e-04	0.0047	COL18A1	collagen, type XVIII, alpha 1
209083_at	7.75	6.23	2.87	7e-04	0.0182	CORO1A	coronin, actin binding protein, 1A
209089_at	12.4	13.52	-2.18	2e-04	0.0035	RAB5A	RAB5A, member RAS oncogene family
209090_s_at	6.8	8.06	-2.4	7.44e-05	0.0022	SH3GLB1	SH3-domain GRB2-like endophilin B1
209102_s_at	9.72	11.22	-2.83	5e-04	0.0147	HBP1	HMG-box transcription factor 1
209112_at	11.26	12.28	-2.03	4e-04	0.0069	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)
209122_at	9.23	12.43	-9.2	5.63e-07	2e-04	PLIN2	perilipin 2
209124_at	10.31	8.86	2.73	8e-04	0.0445	MYD88	myeloid differentiation primary response 88
209129_at	12.21	11.49	1.65	0.0025	0.0233	TRIP6	thyroid hormone receptor interactor 6
209132_s_at	10.14	8.96	2.26	1e-04	0.003	COMMD4	COMM domain containing 4
209137_s_at	10.75	9.8	1.92	7e-04	0.0096	USP10	ubiquitin specific peptidase 10
209139_s_at	10.44	11.44	-2	0.0021	0.035	PRKRA	protein kinase, interferon-inducible double stranded RNA dependent activator
209140_x_at	9.26	10.78	-2.87	5e-04	0.0389	HLA-B	major histocompatibility complex, class I, B
209146_at	11.11	12.67	-2.95	1e-04	0.0078	MSMO1	methylsterol monooxygenase 1
209148_at	8.42	9.14	-1.65	0.0031	0.0276	RXRB	retinoid X receptor beta
209150_s_at	11.14	12.19	-2.06	3e-04	0.005	IPO4; TM9SF1	importin 4; transmembrane 9 superfamily member 1
209153_s_at	10.27	9.28	1.99	0.0023	0.0371	TCF3	transcription factor 3
209163_at	10.6	11.39	-1.73	0.0014	0.0155	CYB561	cytochrome b561
209172_s_at	7.56	6.24	2.51	0.0022	0.0216	CENPF	centromere protein F
209179_s_at	9.82	9.11	1.64	0.005	0.0387	MBOAT7	membrane bound O-acyltransferase domain containing 7
209185_s_at	8.81	9.88	-2.1	0.0031	0.0449	IRS2	insulin receptor substrate 2
209189_at	7.81	10.69	-7.37	7.58e-05	0.0219	FOS	FBJ murine osteosarcoma viral oncogene homolog
209194_at	12.24	13.05	-1.74	0.002	0.0196	CETN2	centrin 2
209195_s_at	7.42	6.77	1.57	0.007	0.0496	ADCY6	adenylate cyclase 6
209213_at	8.79	7.46	2.52	6.53e-05	0.002	CBR1	carbonyl reductase 1
209216_at	8.33	9.89	-2.95	2e-04	0.0084	WDR45	WD repeat domain 45
209221_s_at	7.83	8.84	-2.01	3e-04	0.0055	OSBPL2	oxysterol binding protein-like 2
209224_s_at	10.86	10.19	1.59	0.0059	0.0438	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
209230_s_at	5.69	6.83	-2.2	0.001	0.0124	NUPR1	nuclear protein 1, transcriptional regulator
209262_s_at	10.61	8.8	3.51	9.91e-06	7e-04	NR2F6	nuclear receptor subfamily 2, group F, member 6
209267_s_at	10.83	8.56	4.83	0.0012	0.0255	SLC39A8	solute carrier family 39 (zinc transporter), member 8
209272_at	7.76	6.75	2.01	0.0014	0.0151	NAB1	NGFI-A binding protein 1
209274_s_at	10.85	12.25	-2.64	0.001	0.0485	ISCA1	iron-sulfur cluster assembly 1
209275_s_at	10.22	9.39	1.78	0.0014	0.0156	CLN3	ceroid-lipofuscinosis, neuronal 3
209277_at	6.14	5.49	1.57	0.0057	0.0429	TFPI2	tissue factor pathway inhibitor 2
209295_at	9.82	11.79	-3.93	2e-04	0.0102	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b
209300_s_at	8.92	9.76	-1.78	0.0011	0.0127	NECAP1	NECAP endocytosis associated 1
209301_at	10.5	8.65	3.59	1e-04	0.026	CA2	carbonic anhydrase II
209311_at	8.75	10.04	-2.45	6.62e-05	0.002	BCL2L2	BCL2-like 2
209320_at	8.02	7.1	1.89	6e-04	0.0086	ADCY3	adenylate cyclase 3
209326_at	9.98	11.08	-2.15	0.0015	0.0285	SLC35A2	solute carrier family 35 (UDP-galactose transporter), member A2
209340_at	9.37	11.22	-3.61	2e-04	0.0305	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1
209344_at	10.79	9.39	2.62	8.88e-06	0.0044	TPM4	tropomyosin 4
209357_at	8.52	10.99	-5.54	6.63e-06	0.0025	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
209375_at	9.23	10.59	-2.57	5.35e-05	0.0018	XPC	xeroderma pigmentosum, complementation group C
209377_s_at	12.06	10.74	2.49	0.0013	0.0257	HMGN3	high mobility group nucleosomal binding domain 3
209379_s_at	8.08	9.16	-2.11	4e-04	0.0059	CCSER2	coiled-coil serine rich protein 2
209380_s_at	9.12	8.37	1.68	0.0026	0.0239	ABCC5	ATP binding cassette subfamily C member 5
209383_at	9.79	12.36	-5.93	4.96e-05	0.005	DDIT3	DNA-damage-inducible transcript 3
209397_at	8.58	9.5	-1.9	0.0033	0.0469	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial
209402_s_at	7.44	8.19	-1.69	0.0056	0.0423	SLC12A4	solute carrier family 12 (potassium/chloride transporter), member 4
209404_s_at	9.56	10.91	-2.54	0.0012	0.0246	TMED7	transmembrane p24 trafficking protein 7
209406_at	6.82	6.01	1.76	0.0019	0.0193	BAG2	BCL2-associated athanogene 2
209408_at	10.49	9.06	2.69	6e-04	0.0172	KIF2C	kinesin family member 2C
209409_at	8.11	10.19	-4.24	2.02e-05	0.001	GRB10	growth factor receptor bound protein 10
209414_at	6.19	5.04	2.22	0.001	0.0219	FZR1	fizzy/cell division cycle 20 related 1
209421_at	9.1	6.92	4.54	3.05e-05	0.0041	MSH2	mutS homolog 2
209428_s_at	8.79	9.98	-2.29	9e-04	0.0211	ZFPL1	zinc finger protein-like 1
209430_at	9.09	9.75	-1.59	0.0038	0.0316	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa
209431_s_at	9.12	7.47	3.13	8.35e-05	0.0023	PATZ1	POZ (BTB) and AT hook containing zinc finger 1
209432_s_at	9.74	11.04	-2.48	2e-04	0.0047	CREB3	cAMP responsive element binding protein 3
209434_s_at	9.72	10.45	-1.66	0.0024	0.0227	PPAT	phosphoribosyl pyrophosphate amidotransferase
209435_s_at	8.37	9.45	-2.11	3e-04	0.0056	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2
209443_at	7.24	6.55	1.62	0.0033	0.0286	SERPINA5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5
209447_at	6.11	5.01	2.15	0.0043	0.0349	SYNE1	spectrin repeat containing, nuclear envelope 1
209449_at	8.97	7.61	2.56	0.0032	0.0461	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
209457_at	6.29	8.46	-4.51	1.01e-05	0.0378	DUSP5	dual specificity phosphatase 5
209459_s_at	11.76	9.61	4.42	9.39e-05	0.0025	ABAT	4-aminobutyrate aminotransferase
209464_at	8.85	7.53	2.49	2e-04	0.0034	AURKB	aurora kinase B
209468_at	6.12	5.4	1.65	0.006	0.0446	LRP5	LDL receptor related protein 5
209475_at	8.49	9.68	-2.29	2e-04	0.004	USP15	ubiquitin specific peptidase 15
209477_at	8.73	9.56	-1.78	0.0011	0.0128	EMD	emerin
209479_at	7.55	9.04	-2.81	3e-04	0.0118	CCDC28A	coiled-coil domain containing 28A
